ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
4.80589,-18.22354,,5.983,3.364,0.1043,1,3,3,1,90.0,5.983
4.80617,-33.86715,0.01805,3.512,3.153,0.8052,1,3,3,1,90.0,3.512
4.92733,-25.43395,5.454,10.99,10.79,1.186,3,3,3,1,90.0,10.99
4.97034,-25.27962,9.745,9.035,4.699,1.21,3,3,3,1,65.0,9.745
5.11561,-20.12267,6.261,6.609,5.693,2.016,3,3,3,1,90.0,6.609
5.19431,-25.56437,8.068,5.817,7.427,2.085,3,3,3,1,65.0,8.068
5.23513,-25.36353,4.22,4.444,3.235,2.645,3,3,3,1,90.0,4.444
5.55452,-63.55014,4.207,4.749,3.835,1.874,3,3,3,1,90.0,4.749
6.44778,18.89221,16.7,12.58,4.654,1.983,3,3,3,1,65.0,16.7
7.1601,41.88268,15.87,10.62,3.09,0.2372,3,3,3,1,65.0,15.87
7.83695,-25.08954,,4.594,2.287,2.383,1,3,3,1,90.0,4.594
1.20544,-28.06771,23.62,16.61,4.306,0.6345,3,3,3,1,65.0,23.62
5.1956,-53.33079,3.797,4.703,2.41,0.9124,3,3,3,1,90.0,4.703
6.34915,-31.22161,15.53,10.83,3.693,0.01244,3,3,3,1,65.0,15.53
6.44234,-39.76424,7.848,1.905,5.534,1.887,3,3,3,1,65.0,7.848
7.81785,-32.78665,11.79,10.15,5.745,1.281,3,3,3,1,65.0,11.79
8.13791,-15.47283,13.66,12.02,4.562,0.8007,3,3,3,1,65.0,13.66
8.58007,8.93455,25.49,16.6,2.41,0.6175,3,3,3,1,65.0,25.49
0.5806,-38.69336,10.74,13.33,10.19,2.196,3,3,3,1,90.0,13.33
1.43167,-26.19913,8.348,10.01,2.585,2.905,3,3,3,1,90.0,10.01
