ra,dec,flux65,flux90,flux140,flux160,qflag65,qflag90,qflag140,qflag160,peak_wl,peak_flux
286.15989,-1.08913,2.11,3.496,,0.0283,3,1,2,0,90.0,3.496
320.29795,52.56279,1.418,5.033,,0.197,2,1,2,0,90.0,5.033
350.13757,57.73088,1.145,4.322,,0.0624,1,1,2,0,90.0,4.322
298.45484,40.06261,2.577,3.649,,0.143,1,1,2,0,90.0,3.649
320.86797,65.91393,2.536,3.586,,0.0311,3,1,2,0,90.0,3.586
296.13325,27.30046,0.7346,3.962,,0.122,1,1,2,0,90.0,3.962
2.29537,67.06932,2.937,5.219,,0.247,1,1,2,0,90.0,5.219
345.17294,58.50604,2.766,4.778,,0.0422,1,1,2,0,90.0,4.778
167.18999,-63.08894,2.01,5.599,,0.12,1,1,2,0,90.0,5.599
342.73926,59.81058,2.547,3.665,,0.195,1,1,2,0,90.0,3.665
280.33463,-2.93295,2.687,3.507,,0.24,1,1,3,1,90.0,3.507
336.58465,56.11771,2.959,4.018,,0.0996,1,1,2,0,90.0,4.018
343.44672,67.36385,1.767,3.654,,0.0374,1,1,2,0,90.0,3.654
346.25333,61.13639,0.6031,3.641,,0.888,1,1,3,1,90.0,3.641
2.42089,59.95985,2.93,4.187,,0.0689,1,1,2,0,90.0,4.187
277.2285,-12.28356,0.8519,37.31,,0.662,1,1,3,1,90.0,37.31
325.08727,58.94352,2.991,3.053,,0.151,1,1,2,0,90.0,3.053
310.5097,37.62085,2.812,4.002,,0.169,1,1,2,0,90.0,4.002
310.55372,35.49287,2.38,4.35,,0.06,1,1,2,0,90.0,4.35
340.84004,65.19771,1.97,3.394,,0.116,1,1,2,0,90.0,3.394
345.19007,13.61958,2.205,3.201,,0.0204,1,1,2,0,90.0,3.201
153.5586,-56.8269,2.847,7.023,,0.273,1,1,2,0,90.0,7.023
240.56083,-55.34604,2.771,5.981,,0.092,1,1,3,1,90.0,5.981
168.43153,-63.44909,0.8578,3.161,,0.325,1,1,3,1,90.0,3.161
349.77886,57.77312,2.669,5.049,,0.219,1,1,2,0,90.0,5.049
286.54109,-0.23409,1.093,7.141,,0.11,1,1,3,1,90.0,7.141
310.87384,39.59882,0.847,3.453,,0.296,1,1,3,1,90.0,3.453
344.57006,61.39341,0.3021,9.53,,0.283,1,1,2,0,90.0,9.53
1.87701,59.96425,2.408,4.65,,0.301,1,1,2,0,90.0,4.65
342.39562,63.97691,2.743,5.547,,0.0938,1,1,2,0,90.0,5.547
288.59951,15.08396,2.221,3.128,,0.0603,3,1,2,0,90.0,3.128
130.24732,-39.83126,0.5568,3.348,,0.0757,1,1,2,0,90.0,3.348
349.18368,8.90665,0.6464,3.102,,0.0379,1,1,2,0,90.0,3.102
280.40929,-8.06377,2.764,3.294,,0.425,1,1,3,1,90.0,3.294
279.2398,-11.00464,0.5386,4.153,,0.885,1,1,3,1,90.0,4.153
287.91784,13.21348,1.614,3.232,,0.146,1,1,2,0,90.0,3.232
356.46023,60.53097,1.742,3.478,,0.0747,1,1,2,0,90.0,3.478
345.63749,59.73709,1.559,3.181,,0.0783,1,1,2,0,90.0,3.181
345.56687,59.43487,2.856,4.274,,0.0874,1,1,2,0,90.0,4.274
341.11294,58.69961,2.037,4.765,,0.0494,1,1,2,0,90.0,4.765
287.01135,12.7827,1.167,3.194,,0.0723,1,1,2,0,90.0,3.194
241.13793,-53.92463,1.504,12.18,,0.0468,1,1,2,1,90.0,12.18
326.41719,59.03882,2.885,3.424,,0.0828,1,1,2,0,90.0,3.424
